,tokenized 
7934,"['코스닥', '내', '린', '장', '종료']"
9993,"['쿠팡', '분기', '매출', '첫', '조', '돌파', '했는데', '주가', '이상', '폭락', '왜']"
6102,"['연', '저', '점', '기록', '백화점', '株', '반등', '투자', '연재', '원', '으로']"
10949,"['현', '대', '자동차', '분', '기', '영업', '이익', '조천억원', '작년', '대비', '상승']"
3938,"['설연휴', '이후', '첫', '거래', '일', '코스피', '상승', '출발', '대', '회복']"
213,"['뉴욕증시', '소화', '국채', '금리', '급등', '하락', '세로', '출발']"
317,"['혹', '시마', '윈', '체포', '된거', '아냐', '알리바바', '주', '가장', '중', '폭락', '사실']"
9205,"['정부', '여당', '發', '규제', '협공', '네이버', '카카오', '주가', '폭락']"
10049,"['카카오', '게임', '즈', '잘', '나간다는데', '대장', '주', '엔씨', '목표', '가줄', '하향', '왜']"
5962,"['무디스', '韓', '철강', '車', '조', '선수', '요기', '대', '해볼만']"
5481,"['삼', '성', '전자', '하이닉스', '상승', '코스피', '외국인', '기관', '쌍끌이', '매수', '반등']"
3923,"['롯데', '정밀', '화학', '작년', '영업', '이익', '천억원', '전', '년', '대비', '상승']"
7318,"['유플러스', '분기', '영업', '익', '천억', '원년', '후', '분기', '최대', '종합']"
5551,"['사상', '최대', '실적', '역대', '급', '배당', '한다는', '곳']"
6960,"['엔씨', '하루', '만에', '급락', '증권', '가는리니', '지기', '대', '목표', '상승']"
1093,"['코스피', '내린', '개장']"
4264,"['쌍용차', '분기', '연속', '적자', '지난해', '매출', '조억원']"
41,"['클래', '시스', '분기', '영업', '이익', '억', '원증']"
1221,"['코스피', '인플레', '정점', '통과', '기', '대감', '상승']"
4238,"['삼', '성', '바이오', '중', '장기', '투자', '매력', '상승', '대비', '무관', '골드', '스탁', '자금', '으로']"
7388,"['쌍용', '씨', '앤', '분기', '영업', '이익', '억원', '작년', '동', '기', '대비', '상승']"
10408,"['뉴욕증시', '기업', '실적', '개', '선속', '상승', '최고', '마감']"
299,"['카카오', '분기', '영업', '이익', '천억원', '작년', '동기', '대비', '상승']"
3541,"['아이', '에스', '동', '서', '작년', '영업', '이익', '천억원', '전', '년', '대비', '상승']"
750,"['깜짝', '실적', '현대차', '기아', '대', '상승', '목표', '상향', '종합']"
586,"['삼성', '분', '기', '영업', '이익', '천억원', '작년', '동기', '대비', '상승', '종합']"
7013,"['내년', '코스피', '조정', '후', '반등', '중', '장기', '투자', '연', '자금', '으로']"
3226,"['코스피', '상승', '마감', '우크라이나', '공격', '보도', '출렁']"
601,"['나스닥', '끌어내린', '알파벳', '유일', '한빛', '마이크로소프트', '분', '주식']"
7178,"['코스닥', '오른', '개장']"
8973,"['-', '정유', '수', '요정', '제', '마진', '상승', '중', '장기', '투자', '연', '금리', '로']"
2318,"['월', '큰손', '스태그플레이션', '걱정', '돼', '대형', '기술', '주', '매수']"
819,"['코스피', '내린', '개장']"
1373,"['올해', '코스피', '하락', '할', '때', '상장', '리츠', '주가', '상승']"
8397,"['美', '증시', '월', '고용', '실망', '하락', '나스닥', '하락']"
2013,"['월', '발행', '주식', '감소', '월', '엔', '솔', '상장', '따른', '기', '저', '효과']"
7246,"['한국', '테크놀로지', '최대', '주', '주', '참여', '발행', '억', '실탄', '확보', '대우조선', '해양', '건설', '성', '건설', '등', '신', '사업', '추진']"
8514,"['눈치', '보기', '장', '세', '중장', '기', '투자', '업계', '최저', '연', '자금', '으로']"
9191,"['코스피', '장', '초반', '하락', '세대']"
3257,"['코스피', '장', '초반', '소', '폭', '상승', '대']"
2674,"['美', '증시', '우', '크라', '핵', '위기', '우려', '나스닥', '하락']"
4547,"['시장', '금리', '급등', '美', '증시', '휘청', '나스닥', '하락']"
4152,"['네이버', '작년', '영업', '익조', '억', '원전', '년', '대비', '상승', '매출', '조억원']"
10732,"['코스피', '장', '초반', '하락', '세대']"
4041,"['코스피', '외국인', '패닉', '셀링', '장', '중선', '붕괴']"
2841,"['추락', '하던과', '창판', '中', '전인대', '기대', '반등', '나']"
9141,"['풍력', '수', '소', '사업', '성장동력', '확보', '株', '저', '점', '매수', '연', '금리', '로']"
10309,"['하이브', '분기', '영업', '이익', '억원', '작년', '동기', '대비', '하락', '종합']"
1224,"['코스닥', '오른', '장', '종료']"
8802,"['뉴욕증시', '헝', '불안', '정치', '적', '불확실', '성', '혼', '조', '다우', '상승', '마감']"
5132,"['비율', '상', '향수', '혜주', '구리', '값', '상승', '수', '혜주']"
8372,"['작년', '자본시장', '자금', '조달', '조', '역대', '최대', '년', '만에', '배', '늘어']"
6740,"['코스닥', '내', '린', '장', '종료']"
8481,"['뉴욕증시', '민간', '고용호', '조속', '하락', '출발']"
8519,"['전', '내년', '매출', '영업', '익', '상승', '저', '점', '매수', '연', '금리', '로']"
6920,"['쿠팡', '분기', '매출', '증가', '조천억원', '순', '손실', '천억원']"
484,"['만도', '분기', '영업', '이익', '억원', '작년', '동기', '대비', '하락']"
5982,"['진격', '코스피', '돌파', '개', '월', '만에', '거래', '일', '째', '상승']"
5048,"['뉴욕증시', '오미크론', '확산', '금리', '상승', '혼', '조', '다우', '최고', '마감']"
7753,"['삼', '성', '전자', '창사', '이래', '최대', '매출', '조', '달성']"
7944,"['농협', '금융', '분기', '누적', '당', '기', '순이익', '조억원', '전', '년', '동기', '比', '상승']"
8059,"['기업', '실적', '우려', '주가', '에선', '반', '영', '저', '점', '매수', '연', '자금', '으로']"
8240,"['밸류', '션', '매력', '으로', '기술', '적', '반등', '대비', '연', '금리', '로']"
7168,"['테이퍼링', '시작', '면', '오른다더니', '발등', '찍힌', '개미']"
2796,"['작년', '국내', '기관', '해외', '증권', '투자', '잔액', '천', '억', '달러', '역대', '최대']"
10387,"['반도체', '테스트', '기업', '주목', '비중', '확대', '연', '업계', '최저', '금리', '로']"
6959,"['하이닉스', '과도', '저', '평가', '저', '점', '매수', '연재', '원', '으로']"
5926,"['코스피', '거래', '일', '연속', '상', '승마', '감선', '안착']"
3553,"['메가스터디', '교육', '작년', '영업', '이익', '억', '원전', '년', '대비', '상승']"
9151,"['코스피', '장', '초반', '상승세', '대']"
6380,"['코스닥', '내린', '개장']"
4048,"['자동차', '석', '유제품', '수출', '긍정', '적', '대비', '무관', '골드', '스탁', '상품', '으로']"
8708,"['인터내셔널', '올', '영업', '익', '상승', '투자', '선점', '연금', '리', '로']"
6834,"['이슈', '진단', '인플레', '우려', '과도', '하게', '부풀려져']"
6329,"['저', '평가', '및', '배당', '수익률', '주목', '저', '점', '매수', '연', '금리', '로']"
94,"['년', '여', '만', '에선', '붕괴', '나스닥', '하락']"
8154,"['우리', '백', '만장', '팔았다엔', '터주', '호실', '적기', '대']"
4456,"['라씨', '로', '기관', '부품', '업체', '녹스', '첨단', '소재', '집중', '매수']"
392,"['앤', '씨', '분기', '영업', '이익', '천억원', '작년', '동기', '대비', '하락']"
589,"['삼', '성', '전', '기분', '기역', '대', '최대', '실적', '비중', '확대', '무관', '야', '호스', '탁', '상품', '으로']"
4201,"['이노', '텍', '작년', '영업', '이익', '조천억원', '전', '년', '대비', '상승']"
9810,"['미', '개미', '가상', '화폐', '갈아탔나', '로빈후드', '가상', '화폐', '매출', '상승']"
8410,"['따', '상', '기대했는데', '따하', '공', '모주', '로', '용돈', '벌이', '끝나가나']"
1599,"['국내', '대기업', '작년', '조원', '흑자', '매출', '영업', '이익', '역대', '최대']"
2676,"['패스', '작년', '영업', '손실', '억', '원', '적자', '확대']"
10215,"['정부', '정책', '여유', '자금', '수혜', '주', '세', '대수', '요', '증가', '수', '혜주']"
126,"['이노', '엔', '분기', '영업', '이익', '억원', '하락']"
9192,"['코스피', '내린', '개장']"
6412,"['韓', '증시', '불안', '불안', '하루', '새', '코스피', '하락', '상품', '억', '뭉칫', '돈']"
6338,"['오미크론', '변', '충격', '건강한', '조정제', '폭락', '자', '앤트', '유동', '원', '픽', '라이브']"
570,"['유가', '상', '승호', '재정', '유부', '문', '선전', '현', '대', '분기', '영업', '익', '상승', '종합']"
9855,"['젬', '백', '스반', '기', '실적', '흑자', '확대', '시', '제품', '납품', '으로', '거래처', '확보', '기대']"
10745,"['증시', '재', '상승', '신호', '공매도', '거래', '줄', '빚투', '늘었다']"
10884,"['코스닥', '오른', '장', '종료']"
4433,"['뉴욕증시', '하락', '원', '달러', '환율', '상승', '출발', '원', '대초', '중반']"
10219,"['시멘트', '가격', '계속', '상승', '중', '대비', '연', '업계', '최저', '금리', '로']"
10038,"['이마트', '분기', '영업', '이익', '억원', '흑자', '전환']"
9626,"['분기', '램', '시장', '상승', '비중', '확대', '연', '자금', '으로']"
7469,"['삼', '성', '목표', '하나', '금투', '미래에셋', '상향']"
2458,"['삼', '성', '전자', '야', '뭔', '걱정', '이야', '개미', '올해', '벌써', '조', '가까이', '순', '매수']"
680,"['코스피', '미국증시', '급락', '넘게', '하락']"
4666,"['모건', '하락', '웰스파고', '상승', '월', '은행', '분기', '엇갈린', '실적']"
8640,"['뉴욕증시', '금리', '경', '계속', '하락', '다우', '하락', '마감']"
6526,"['케이', '카', '골드', '막', '삭스', '호평', '이틀', '째', '신고', '가장', '중', '상승']"
10702,"['온라인', '해외', '판매', '호조', '아모레', '분기', '영업', '이익', '상승', '종합']"
8411,"['가계', '보유', '주식', '처음', '천조', '넘어', '금융', '자산', '중', '주식', '비중', '최대', '종합']"
3062,"['하이브', '작년', '영업', '이익', '천억원', '전', '년', '대비', '상승']"
3608,"['카카오', '페이', '먹튀', '논란', '서', '적자', '까지', '확대', '이중고']"
10670,"['보잉', '년', '만에', '흑자', '전환', '성', '공', '매출', '상승']"
2339,"['코스피', '美', '증시', '반등', '장초', '반', '강세', '대', '회복', '종합']"
8965,"['코스닥', '내', '린', '장', '종료']"
3737,"['뉴욕증시', '조정', '끝나나', '월', '월', '매수', '적', '기일', '수도']"
2959,"['라씨', '로', '기관', '한국', '콜마', '와이지', '엔', '터', '집중', '매수']"
7616,"['효성', '티앤', '씨', '분기', '영업', '이익', '천억원', '작년', '대비', '상승']"
2016,"['뉴욕증시', '유가', '상승', '하락', '출발']"
511,"['화생', '명', '분기', '당기', '순이익', '억원', '작년', '동기', '대비', '하락']"
3727,"['기업은행', '작년', '당', '기', '순', '익조', '억원', '전', '년', '比', '상승']"
2836,"['삼', '성', '전자', '현', '대', '차우', '크라', '사태', '로', '주가', '하락', '할', '때', '종목', '웃었다']"
4819,"['골드만삭스', '카카오', '뱅크', '팔아라', '투자', '의견', '목표', '하향']"
118,"['롯데', '렌탈', '분기', '영업', '이익', '상승', '장기', '렌터카', '-', '중고차', '사업', '호실', '적']"
4623,"['다른', '증권', '주', '바닥', '기는데', '메', '리츠', '나', '홀로', '질주', '상승']"
5308,"['삼', '성', '전자', '하이닉스', '주가', '상승', '반도체', '웃음꽃']"
8286,"['코스피', '오른', '개장']"
8394,"['셀트리온', '형', '제이', '달', '공매도', '천억', '쏟아졌다']"
4883,"['코스피', '내린', '개장']"
727,"['현', '대', '제', '철수', '요', '회복', '분기', '영업', '이익', '천억원', '상승', '종합', '보']"
9805,"['코스피', '내린', '개장']"
4059,"['뉴욕증시', '소화', '개선', '상승', '출발']"
10192,"['대', '신', '증권', '라임', '펀드', '최대', '배상']"
9980,"['한국전력', '공', '사분기', '영업', '손실', '천억원', '적자', '전환']"
7017,"['바이오', '팜', '분기', '매출', '증가', '해억원', '적자', '축소', '종합']"
3453,"['외국인', '코스닥', '팔', '자심', '상', '찮', '올', '들어', '순', '매도', '조', '육박']"
10541,"['호텔', '신라', '분기', '영업', '이익', '억원', '흑자', '전환']"
1642,"['거래소', '특정', '종목', '집중', '매수', '행위', '모니터링']"
869,"['하나은행', '분기', '영업', '이익', '천억원', '작년', '동기', '대비', '상승']"
244,"['기업', '실적', '부진', '때', '주가', '평균', '하락']"
3014,"['코스닥', '오른', '장', '종료']"
8185,"['코스피', '내', '린', '장', '종료']"
4987,"['미국', '조기', '긴축', '예고', '코스피', '하락', '출발', '대', '종합']"
2444,"['코스닥', '오른', '개장']"
5566,"['한국', '증시', '반등', '가능할까', '유', '안타', '證', '투자', '설명', '회', '개최']"
3816,"['코스피', '오른', '개장']"
5634,"['내년', '더기', '대', '된다는', '원', '전주', '올해', '한전기술', '두산', '중공업', '뛰었다']"
960,"['투', '증권', '에쓰오일', '목표', '상승', '분', '기사', '상', '최대', '영업', '이익', '예상']"
7012,"['이마트', '분기', '영업', '이익', '천억원', '작년', '동기', '대비', '하락']"
4269,"['금리', '인상', '피난처', '폭락', '장', '에도', '큰손', '담는이것']"
1939,"['시', '총', '조', '원재', '돌파', '바닥', '찍은엔', '솔거', '래일', '연속', '상승']"
7387,"['카카오', '페이', '장', '중대', '하락', '금융', '시', '총', '밀려']"
912,"['뉴욕증시', '파월', '인상', '가능성', '언급', '하락', '나스닥', '하락', '마감']"
3895,"['코스피', '겨우', '반등', '했지만', '차', '하락', '땐', '까지', '밀릴우려']"
6559,"['내년', '분', '기비', '중', '확대', '해야', '저', '점', '매수', '연', '자금', '으로']"
9977,"['메', '디톡스', '분기', '영업', '이익', '억원', '으로', '분기', '만에', '흑자', '전환']"
8591,"['백신', '맞는', '의류', '株', '약', '세', '장서', '선방']"
3519,"['뉴욕증시', '금리', '인상', '가능성', '급락', '나스닥', '하락']"
1190,"['현대', '중', '편입', '기', '대감', '신고', '가선', '점', '무관', '야', '호스', '탁', '상품', '으로']"
10734,"['코스닥', '내린', '개장']"
1985,"['버거킹', '작년', '영업', '이익', '상승', '매출', '액', '늘어', '역대', '최고', '치']"
10719,"['에쓰오일', '상반기', '실적', '사상', '최대', '추가', '매입', '연', '금리', '로']"
5798,"['뉴욕증시', '대기', '속', '하락', '출발']"
3643,"['신한카드', '작년', '영업', '이익', '천억원', '전', '년', '대비', '상승']"
10056,"['컴투스', '분기', '영업', '이익', '억원', '작년', '동기', '대비', '하락']"
4994,"['뉴욕증시', '의사록', '긴축', '우려', '로', '하락', '나스닥', '하락', '마감']"
259,"['지누', '스', '분기', '영업', '이익', '억원', '작년', '동기', '대비', '상승']"
5400,"['코스닥', '오른', '장', '종료']"
9894,"['호텔', '롯데', '분기', '매출', '증가', '적자', '감소']"
2319,"['쿠시', '먼', '앤드', '웨이크필드', '어', '펄마', '빔', '모빌리티', '투자', '매수', '자문']"
10484,"['바이오', '시', '밀러', '수출', '대박', '셀트리온', '형', '제', '주가', '급', '반등']"
9560,"['기업', '생산', '성', '경쟁력', '상승', '다음', '달', '주목', '해야', '할', '종목']"
518,"['코스닥', '오른', '개장']"
1887,"['코스피', '내린', '개장']"
5539,"['금융', '지주', '올', '해역', '대', '최대', '배당', '비중', '확대', '연', '금리', '로']"
9708,"['코스피', '장', '초반', '반', '등대', '회복', '종합']"
10371,"['한국', '타이어', '글로벌', '수요', '회복', '분기', '영업', '익', '상승', '종합']"
5057,"['시들해진', '공', '모', '주', '펀드', '역대', '급', '되', '살아날까', '기', '대감', '고조']"
7353,"['소속사', '하이브', '분기', '영업', '익', '억', '원전', '년', '비상', '승']"
1911,"['뉴욕증시', '지정학적', '위기', '긴축', '우려', '속', '혼', '조', '세로', '출발']"
8567,"['코스피', '개', '월여', '만에', '장', '중선', '붕괴']"
10429,"['동', '원', '시스템', '즈', '분기', '영업', '이익', '억원', '작년', '동', '기', '대비', '하락']"
3668,"['작년', '영업', '이익', '억원', '재작년', '보다', '상승', '종합']"
10545,"['후판', '상승', '삼성', '중', '분기', '영업', '손실', '천억원', '적', '자폭', '감소', '종합']"
6676,"['코스닥', '내린', '개장']"
5437,"['만', '전자', '바짝', '코스피', '외국인', '기관', '쌍끌이', '매수', '사흘', '연속', '상승']"
6274,"['코스닥', '오른', '개장']"
2037,"['코스피', '오른', '장', '종료']"
6152,"['중국', '상', '폐', '리스크', '상승', '디디', '추싱', '나스닥', '서', '조속', '히', '상폐', '키로']"
10849,"['코스피', '장', '초반', '상승세', '대', '종합']"
10569,"['코스피', '장', '초반', '하락', '세', '선', '등락', '종합']"
10653,"['낸드', '가격', '상승세', '연말', '까지', '간다', '투자', '선점', '연', '금리', '로']"
2021,"['중남미', '펀드', '하락', '장', '에도', '웃었다']"
5414,"['개미', '코스피', '외면', '증권', '주', '주춤', '저', '점', '매수', '연', '금리', '로']"
5233,"['뉴욕증시', '산타랠리', '기', '대', '속', '혼', '조', '최고', '치']"
7118,"['신세계', '분기', '누적', '영업', '익', '억', '사상', '최대']"
8166,"['뉴욕증시', '中', '성', '장부', '진실', '적기', '대', '혼', '조', '다우', '하락', '마감']"
7801,"['삼', '성', '전', '기', '분기', '영업', '이익', '천억원', '작년', '동기', '대비', '상승', '종합']"
8524,"['코스닥', '오른', '개장']"
3231,"['코스닥', '내', '린', '장', '종료']"
3049,"['테슬라', '이어', '많이', '샀는데', '하락', '개미', '울분']"
481,"['삼', '성', '호실', '적', '주', '가도', '강세', '나흘', '연속', '상승', '종합']"
7156,"['온', '시스템', '분', '기', '영업', '이익', '억원', '감소']"
1886,"['코스피', '하락', '출발', '대']"
6942,"['코스닥', '오른', '장', '종료']"
5953,"['뉴욕증시', '오미크론', '우려', '완화', '속', '혼', '조', '출발']"
455,"['바닥', '언', '제', '올해', '하락', '카오', '눈물', '물', '타기']"
7933,"['코스피', '오른', '장', '종료']"
3763,"['에너지', '솔루션', '작년', '매출', '조천억원', '전', '년', '보다', '상승', '종합']"
10784,"['에쓰오일', '분기', '영업', '이익', '천억원', '반기', '기준', '사상', '최대']"
10214,"['원', '익머', '트리', '얼', '즈', '분기', '영업', '이익', '억원', '작년', '동', '기', '대비', '상승']"
1869,"['금융투자', '월', '약세', '장', '속', '반', '등장', '세', '보일것']"
8753,"['코스닥', '내린', '개장']"
485,"['코스피', '대', '상승', '마감', '대']"
1241,"['코스피', '장', '초반', '강세', '대로', '반등']"
9380,"['코스닥', '오른', '장', '종료']"
4070,"['미래에셋', '證', '작년', '영업', '익조', '천억', '최대']"
7161,"['하이', '투자', '증권', '외국인', '매도', '에도', '코스피', '밑돌', '가능성', '적어']"
2487,"['두산', '반도체', '사업', '확대', '기대', '대비', '무관', '골드', '스탁', '상품', '으로']"
10707,"['현산', '분기', '영업', '이익', '천억원', '작년', '대비', '하락', '종합']"
7686,"['하우', '시스', '분기', '영업', '이익', '억원', '작년', '동기', '대비', '하락']"
9562,"['뉴욕증시', '잭슨', '홀', '대기', '지정학적', '위험', '다우', '하락', '마감']"
8609,"['뉴욕증시', '국채', '금리', '하락', '속', '상승', '다우', '상승']"
4595,"['코스피', '장', '초반', '대로', '반등']"
8067,"['누리', '호', '발사', '기', '대감', '한화', '에어로', '스페이스', '등', '관련', '주', '상승세', '종합']"
4085,"['전자', '작년', '매출', '조천억원', '역대', '최대', '실적']"
1126,"['긍정', '요인', '많은', '브라질', '증시', '국제', '원유', '값', '조정', '때', '상승']"
8631,"['이노션', '지나치게', '저', '평가', '중', '장기', '투자', '연', '업계', '최저', '금리', '로']"
8016,"['역대', '최고', '배당', '수익률', '저', '점', '매수', '연', '자금', '으로']"
4050,"['코스피', '오른', '개장']"
3593,"['코스닥', '오른', '개장']"
6856,"['블랙프라이데이', '크리스마스', '기', '대감', '美', '유통', '주', '상승세']"
474,"['삼', '성', '중공업', '분', '기', '영업', '손실', '억원', '작년', '대비', '적', '자폭', '축소', '종합']"
1657,"['美', '증시', '인플레', '우려', '유가', '하락', '속', '다우', '하락']"
9584,"['코스피', '하락', '마감', '대']"
2688,"['공급망', '병목현상', '때문', '美', '대표', '의류', '주', '실적', '부진', '주가', '뚝']"
2411,"['코스닥', '내', '린', '장', '종료']"
4188,"['긴축', '우려', '힘', '못', '쓰는', '네이버', '주', '신저']"
971,"['뉴욕증시', '넷플릭스', '폭락', '속', '혼', '조', '나스닥', '하락', '마감']"
8671,"['삼', '성', '전자', '카카오', '네이버', '기관', '공매도', '쏟아낸다']"
845,"['美', '중간', '선거', '있는', '해마다', '부진했던', '뉴욕증시', '올해', '과연']"
2900,"['뉴욕', '증', '시러', '대화', '가능성', '상승', '다우', '상승']"
8918,"['뉴욕증시', '투자자', '관망', '속', '하락', '출발']"
15,"['코스피', '내린', '개장']"
7324,"['원', '익머', '트리', '얼', '즈', '분기', '영업', '이익', '억원', '작년', '동', '기', '대비', '상승']"
7163,"['분기', '영업', '이익', '천억원', '작년', '동기', '대비', '상승']"
3210,"['脫', '코로나', '기', '대감', '여행', '레저', '운송', '날개']"
8826,"['헝', '우려', '진정', '코스피', '장', '초반', '대로', '반등', '종합']"
3873,"['호텔', '신라', '증권', '목표', '잇', '달', '아', '하향', '단기', '상승', '모멘텀', '부재']"
1469,"['년', '새', '오른', '고려아연', '증권사', '속', '속', '목표', '주가', '상향']"
2104,"['화투', '자성', '장주', '선호', '상승', '반도체', '인터넷', '은행', '비중', '높여야']"
6289,"['산타랠리', '냐', '오미크론', '發', '하락', '이냐', '그래도', '믿을건', '기술', '주']"
10281,"['카카오', '역대', '최고', '실적', '광고', '뮤직', '만화', '게임', '매출', '증가']"
4218,"['배터리', '양', '-', '음극', '재수', '요', '확대', '포스코', '케미칼', '작년', '영업', '익', '상승', '종합']"
2795,"['개', '종목', '중개', '신저', '가라는데', '달', '새', '오른', '종목']"
3804,"['카카오', '뱅크', '보호', '예', '수', '해제', '에도', '상승', '오버', '행', '우려', '잠재웠나']"
7022,"['인플레', '공포', '코스피', '하락', '한때', '선', '위협']"
769,"['코스피', '선재', '붕괴', '증권', '월', '까지', '요동칠듯']"
1758,"['하이닉스', '키', '파운드리', '수', '승인', '경쟁', '제한', '우려', '없어']"
10040,"['韓', '조선', '개', '월', '연', '속', '수', '주위', '저', '점', '매수', '연', '자금', '으로']"
1484,"['코스피', '하락', '출발', '장', '중대로', '후퇴']"
3750,"['작년', '영업', '이익', '천억원', '전', '년', '대비', '상승']"
8248,"['코스피', '오른', '개장']"
10805,"['삼성', '분', '기', '영업', '이익', '천억원', '작년', '동기', '대비', '상승']"
1765,"['코스피', '상승', '출발', '대']"
5088,"['코스피', '오른', '개장']"
2325,"['홍콩', '증시', '하락', '관련', '줄', '하락', '투자자', '전전긍긍']"
6657,"['코스피', '오른', '장', '종료']"
911,"['美', '증시', '파월', '상언', '급', '나스닥', '하락']"
8921,"['삼', '일', '회계', '매출', '억', '최대']"
8905,"['뉴욕증시', '헝', '우려', '경계', '급락', '다우', '하락', '마감']"
10369,"['규제', '불안', '속', '中', '홍콩', '증시', '상승', '상하이', '상승']"
3716,"['금융', '작년', '순이익', '조천억', '코로나', '속', '또', '사상', '최대', '종합']"
1118,"['년', '중', '최저', '삼', '성', '전자', '초비상', '일', '연', '속', '외국인', '순', '매도']"
1007,"['코스닥', '오른', '개장']"
5906,"['뉴욕증시', '긍정', '적', '주간', '실업', '지표', '하락', '출발']"
8316,"['달', '만에', '삼성', '전자', '조', '카카오', '조', '증발']"
603,"['대우건설', '분기', '영업', '이익', '천억원', '작년', '보다', '감소', '종합']"
10683,"['일만', '순', '자산', '천억', '역대', '급', '성장', '속도', '전기차', '리튬']"
7077,"['올해', '월', '까지', '외국인', '순', '매도', '약조', '원', '지난해', '수준', '이미', '넘어']"
744,"['통신사', '연말', '까지', '강세', '예상', '저', '점', '매수', '무관', '야', '호스', '탁', '상품', '으로']"
4058,"['뉴욕증시', '긴축', '등', '변동성', '속', '나스닥', '하락']"
11047,"['코스닥', '내', '린', '장', '종료']"
7051,"['넷마블', '분기', '영업', '이익', '억원', '작년', '동', '기비', '하락', '종합']"
4373,"['코스피', '내린', '개장']"
3399,"['식품', '바이오', '사업', '호조', '제일제당', '작년', '영업', '이익', '상승', '종합']"
4798,"['뉴욕증시', '파월', '연', '준', '의장', '한마디', '반등', '나스닥', '상승']"
6384,"['거래소', '불법', '리딩', '방공', '매도주의', '신고', '포', '상금', '만만원']"
3352,"['코스닥', '내', '린', '장', '종료']"
1977,"['코스닥', '오른', '장', '종료']"
9964,"['두산', '분기', '영업', '익', '천억원', '흑자', '기조', '유지']"
908,"['코스피', '하락', '출발', '장', '중선', '회']"
304,"['마윈', '체포', '설', '알리바바', '주가', '한때', '폭락', '년', '생회', '사원', '종합']"
8716,"['미국', '채', '금리', '상승', '나스닥', '하락', '개', '월', '만에', '최악', '하루']"
5558,"['뉴욕증시', '오미크론', '확산', '하락', '다우', '하락']"
9685,"['비트코인', '가격', '반등', '가상', '화폐', '수익률', '쑥']"
1009,"['넷플릭스', '가입', '자만', '명', '감소', '쇼크', '디즈니', '로', '전이', '모건', '콜라', '노', '비치', '단기', '급등', '론', '맞을까', '불러', '드', '총재', '자', '앤트', '스텝', '론', '여파']"
5619,"['배당', '귀족', '주', '미워도', '다시', '한번', '서학', '개미', '월', '매수', '신호', '고심']"
7769,"['디스플레이', '가격', '하락', '분기', '주춤', '연간', '흑자', '청', '신호', '종합', '보']"
5309,"['코스피', '오른', '장', '종료']"
7199,"['원', '익', '홀딩스', '분기', '영업', '이익', '억원', '작년', '比', '하락']"
5681,"['대', '신', '증권', '코스피', '까지', '반등', '시도', '경', '계심', '유지', '필요']"
4737,"['작년', '채권', '전자', '등록', '발행', '조천억원', '증가']"
6873,"['증권', '대한항공', '깜짝', '실적', '화물', '내년', '상반기', '강세']"
6109,"['코스피', '장', '초반', '약', '세대', '기관', '외국인', '순', '매도', '종합']"
662,"['한미', '약품', '분기', '영업', '이익', '억원', '작년', '동기', '대비', '상승']"
1688,"['코스피', '달', '반', '만', '에선', '회복', '삼성', '상승']"
4013,"['연합', '시론', '미', '긴축', '우려', '금융시장', '불안', '총', '체적', '관리', '나서야']"
643,"['건설', '분기', '영업', '이익', '천억원', '작년', '동기', '대비', '하락', '종합']"
5092,"['애플', '시', '총', '조', '달러', '테슬라', '상승', '새해', '첫날', '뉴욕증시', '훈', '풍', '종합']"
9760,"['양', '증권', '업계', '최', '상위', '투자', '연', '업계', '최저', '금리', '로']"
2349,"['뉴욕증시', '유가', '하락', '세', '상승', '출발']"
7366,"['분기', '영업', '이익', '억원', '작년', '동', '기', '대비', '상승']"
8756,"['해운업', '계', '분기', '최대', '실적', '눈앞', '영업', '익조', '원', '육박']"
2934,"['통', '했나', '전쟁', '에도', '폭등', '나스닥', 'ㅣ', '러시아', '발', '유럽', '물가', '상승', '고민', '깊어질', '추', '동', '훈', '월스트리트', '뷰']"
4697,"['인플레이션', '잡는', '방법', '없나요', '물가', '상승', '공포', '빠진', '나스닥']"
10291,"['오딘', '약', '발끝', '지지', '부진', '카카오', '게임', '즈', '증권', '가더', '간다', '이유']"
4939,"['코스피', '상승', '출발', '장', '초반', '대']"
6599,"['코스피', '오른', '장', '종료']"
10759,"['삼', '성', '바이오', '로', '직스', '영업', '이익', '천억원', '작년', '대비', '상승']"
2537,"['우리금융', '금리', '상', '승기', '유리', '저', '점', '매수', '무관', '골드', '스탁', '상품', '으로']"
5703,"['연', '준', '매파', '변신', '에도', '뉴욕증시', '급', '반등', '나스닥', '상승']"
5959,"['경기', '민감', '화학', '株', '기지개', '롯데', '케미칼', '달', '상승']"
3138,"['코스피', '대', '하락', '시', '총상', '위주', '줄줄이', '약세']"
10961,"['컨택', '트', '株', '증시', '하락', '방어', '대비', '연', '자금', '으로']"
5873,"['세계', '최대', '사모펀드', '운용', '사', '블랙스톤', '국회', '장', '하영구', '내정']"
9988,"['코스', '맥스', '中', '덕분', '성장', '목표', '상승', '투자', '연', '자금', '으로']"
3249,"['외국인', '저', '평가', '株', '대량', '순', '매', '수', '대비', '무관', '골드', '스탁', '상품', '으로']"
1746,"['통화', '긴축', '시', '코스피', '주요', '업종', '주가', '하락', '개', '월', '내', '회복']"
4945,"['美', '증시', '연', '준', '조기', '긴축', '파장', '이어지며', '하락', '마감']"
9806,"['코스닥', '내린', '개장']"
2728,"['코스피', '오른', '장', '종료']"
10557,"['성장', '율', '속', '예', '상수', '혜주', '수급', '불균형', '수', '혜주']"
